[2025-06-10 20:21:44,169] INFO django.utils.autoreload - Watching for file changes with StatReloader
[2025-06-10 20:22:53,860] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:23:05,702] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:23:50,747] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:28:34,906] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:31:52,541] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:32:16,544] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 20:59:40,787] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:00:17,529] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:03:59,106] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:04:50,816] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:11:53,515] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:12:17,205] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:21:33,204] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:22:00,094] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:25:07,011] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:26:08,805] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:33:39,709] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:34:34,047] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:48:55,029] INFO inference.views - Получен запрос на распознавание: файл=rec.webm, модель=whisper, язык=ru
[2025-06-10 21:48:55,046] INFO inference.services.preprocess - Начало обработки аудиофайла: D:\ВКР\project\asr_project\media\temp/rec.webm
[2025-06-10 21:48:55,587] INFO inference.services.preprocess - Конвертирован в WAV: D:\ВКР\project\asr_project\media\temp/rec_converted.wav
[2025-06-10 21:48:55,758] INFO inference.services.preprocess - Выполняется компенсация шума
[2025-06-10 21:48:55,906] INFO inference.services.preprocess - Выполняется удаление пауз тишины
[2025-06-10 21:49:06,590] INFO inference.services.preprocess - Найдено 3 речевых интервалов
[2025-06-10 21:49:06,602] INFO inference.services.preprocess - Сохранено чанков: 1
[2025-06-10 21:49:06,603] INFO inference.services.preprocess - Препроцессинг завершён. Чанков: 1

[2025-06-10 21:49:06,603] INFO inference.views - Аудиофайл разбит на 1 чанков.
[2025-06-10 21:49:06,603] INFO inference.views - Обработка чанка 1/1
[2025-06-10 21:49:06,603] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 21:49:15,649] INFO inference.views - Обработка завершена
[2025-06-10 21:49:33,331] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:49:55,189] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:53:41,495] INFO inference.views - Получен запрос на распознавание: файл=rec.wav, модель=whisper, язык=ru
[2025-06-10 21:53:41,499] INFO inference.services.preprocess - Начало обработки аудиофайла: D:\ВКР\project\asr_project\media\temp/rec.wav
[2025-06-10 21:53:41,770] ERROR django.request - Internal Server Error: /api/transcribe/
Traceback (most recent call last):
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\decorators\csrf.py", line 65, in _view_wrapper
    return view_func(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\views\generic\base.py", line 104, in view
    return self.dispatch(request, *args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\views.py", line 515, in dispatch
    response = self.handle_exception(exc)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\views.py", line 475, in handle_exception
    self.raise_uncaught_exception(exc)
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\views.py", line 486, in raise_uncaught_exception
    raise exc
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\views.py", line 512, in dispatch
    response = handler(request, *args, **kwargs)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\rest_framework\decorators.py", line 50, in handler
    return func(*args, **kwargs)
           ^^^^^^^^^^^^^^^^^^^^^
  File "D:\ВКР\project\asr_project\inference\views.py", line 52, in transcribe_api
    chunk_paths = preprocess.preprocess_audio(file_path)
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ВКР\project\asr_project\inference\services\preprocess.py", line 88, in preprocess_audio
    waveform, sr = load_and_resample(file_path)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "D:\ВКР\project\asr_project\inference\services\preprocess.py", line 31, in load_and_resample
    waveform, sr = torchaudio.load(file_path)
                   ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchaudio\_backend\utils.py", line 205, in load
    return backend.load(uri, frame_offset, num_frames, normalize, channels_first, format, buffer_size)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchaudio\_backend\soundfile.py", line 27, in load
    return soundfile_backend.load(uri, frame_offset, num_frames, normalize, channels_first, format)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchaudio\_backend\soundfile_backend.py", line 221, in load
    with soundfile.SoundFile(filepath, "r") as file_:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\soundfile.py", line 690, in __init__
    self._file = self._open(file, mode_int, closefd)
                 ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\adam1\AppData\Local\Programs\Python\Python311\Lib\site-packages\soundfile.py", line 1265, in _open
    raise LibsndfileError(err, prefix="Error opening {0!r}: ".format(self.name))
soundfile.LibsndfileError: Error opening 'D:\\ВКР\\project\\asr_project\\media\\temp/rec.wav': Format not recognised.
[2025-06-10 21:53:43,225] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:54:06,566] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:54:26,042] WARNING django.request - Not Found: /.well-known/appspecific/com.chrome.devtools.json
[2025-06-10 21:55:13,535] INFO inference.views - Получен запрос на распознавание: файл=rec.wav, модель=whisper, язык=ru
[2025-06-10 21:55:13,538] INFO inference.services.preprocess - Начало обработки аудиофайла: D:\ВКР\project\asr_project\media\temp/rec_rS4NmsW.wav
